controller,pkg_controller,pkg_domain,pkg_repository,repository,architecture,pkg_infrastructure,service,repo_name,pkg_service,configuration,pkg_usecase,pkg_application,component,total_java_files
3,1,,1,0,clean,,1,crud-spring-boot,1,0,,2,0,8
0,,,,0,clean,,0,CRUDCleanArchitecture,,0,,2,0,2
1,,3,7,1,clean,8,0,crudCleanArchitectureImperactive,3,3,2,3,3,14
1,,3,2,1,clean,6,0,crudCleanArchitectureReactive,3,2,2,2,2,11
0,,18,2,0,clean,10,1,curso-clean-architecture-spring-boot,,2,20,27,3,53
3,4,3,2,0,clean,,0,DataParser,,0,,2,0,15
32,25,459,100,12,clean,117,38,ddd-examples,111,31,14,165,80,1686
0,3,21,4,0,clean,,0,ddd-spring-sample,1,1,,10,5,41
1,5,2,2,1,clean,,0,DescomplicandoCleanArchitectureSeptember2024,,6,8,2,7,45
2,2,,,0,clean,1,0,DevSecOps,1,0,1,1,2,15
1,,,4,0,clean,,0,Distributed-SpringBoot-CleanArchitecture,,0,,17,2,21
1,,,4,0,clean,4,0,Distributed-SpringBoot-CleanArchitecture-modules,15,0,,11,2,21
0,,17,,0,clean,,0,domain-driven-design,6,0,,2,0,17
2,5,,1,1,clean,,1,dscatalog,3,1,,2,2,16
1,1,,,0,clean,,1,DynamicPDFGenerator,2,3,,1,2,10
1,1,,,1,clean,,1,E-Com-Project-Backend-using-SpringBoot,1,0,,2,0,6
18,25,90,46,25,clean,52,47,E-commerce,27,12,92,3,11,427
11,11,,5,0,clean,,6,E-Commerce-Platform,94,4,,12,0,94
0,,,,0,clean,,0,ecom-springboot,,0,,2,0,2
3,2,26,8,3,clean,3,0,ecommerce,10,2,7,8,8,47
4,3,,3,0,clean,,5,ecommerce-backend,8,2,,2,1,36
2,2,,1,0,clean,,1,ecommerce-java-spring,3,0,,2,0,18
2,1,2,3,1,clean,7,5,ecommerce-simple-spring,,1,5,6,2,22
5,4,,4,4,clean,,5,ECommerceAPI,10,3,,2,3,51
4,4,,3,3,clean,,4,ECommerceAPI-SpringBoot,4,1,,2,2,19
2,2,4,5,1,clean,15,4,eleve-challenge-exchange,4,2,4,12,2,36
1,1,,,0,clean,,2,email-microservice-spring-boot,11,2,1,3,0,11
1,1,,,0,clean,,2,email-service-AWS,10,1,1,3,1,10
1,1,,1,0,clean,,1,Employee-Management-Backend,2,0,,2,0,10
1,1,,1,0,clean,,1,Employee-Management-System-Spring-Boot-Rest-API,2,0,,2,0,10
