architecture,pkg_repository,max_package_depth,class_service,import_data,controller,springboot_app,class_repository,import_web,pkg_domain,total_java_files,configuration,pkg_infrastructure,pkg_usecase,import_stereotype,pkg_service,has_app_config,repo_name,repository,service,import_jpa,pkg_controller,class_config,import_boot,pkg_application,component,class_controller
clean,5,11,44,7,5,1,,14,81,132,5,5,,10,46,,cleancards,5,5,5,,5,3,2,0,
clean,3,11,2,5,4,1,,10,16,65,1,,21,16,3,1,CleanCommerceJava,3,9,0,3,1,3,26,4,3
clean,2,9,,1,1,1,1,4,1,15,1,8,1,0,,1,cleanva,0,0,0,1,1,3,5,0,1
clean,2,14,,2,8,1,,28,,120,0,49,108,17,,1,clean_arch-demo-todo_in_spring,1,0,13,8,,3,2,18,8
clean,2,9,,1,1,1,1,4,1,14,1,8,1,1,,1,clean_architecture,1,0,0,4,1,3,4,0,1
clean,,8,1,1,1,1,,9,2,15,0,5,1,5,1,1,clean_architecture_spring_boot,0,3,2,1,2,3,5,2,1
clean,2,11,,1,1,1,1,6,1,11,1,4,2,1,,1,Clean_Arch_With_Spring,0,0,0,1,1,3,6,0,1
clean,3,12,,2,1,1,1,4,,19,2,,9,0,,,Clearn-Architecture-Demo,0,0,1,,2,4,1,0,
clean,6,12,2,0,3,1,4,5,2,31,3,,2,4,2,1,cloud-notes,4,0,0,3,3,4,3,0,3
clean,2,9,3,1,3,1,1,4,,16,0,,,2,4,1,Cloud-Vendor,0,1,4,3,,19,2,0,3
clean,1,7,,1,2,1,,2,,18,1,,,2,,1,coffee-order-spring,1,0,0,1,1,4,2,1,1
clean,14,10,8,2,5,1,4,9,17,75,1,29,5,20,8,1,Commercia-360-API,4,4,0,6,1,5,28,12,5
clean,1,10,,2,6,1,,20,,20,0,,6,7,,1,contact-list-clean-arch,0,6,1,6,,3,2,1,6
clean,8,11,10,47,3,1,2,7,11,65,6,25,2,18,11,1,copilot-demo-spring-taskmanager,6,6,0,3,6,11,20,6,3
clean,1,9,4,1,1,1,,8,,9,0,,,4,9,1,country-service-app,0,2,0,2,,3,2,2,1
clean,4,12,,2,2,1,1,7,15,40,4,6,2,3,1,1,course-clean-arch,1,1,0,1,4,3,5,1,1
clean,3,8,3,13,3,1,,3,,20,0,,,6,6,1,course-management-system,3,3,0,3,,3,2,0,3
clean,,11,,1,2,1,,3,5,27,0,,1,1,,1,covid-combat_clean-arch,0,1,10,2,,2,,0,1
clean,3,10,,1,2,1,1,4,2,23,2,7,,8,,1,cqrs-clean-architecture-mapstruct-jpa,1,5,0,1,2,4,9,2,1
clean,4,11,2,2,3,1,,11,15,60,2,,,9,8,1,cqrs-customer,0,9,0,3,2,5,11,0,3
clean,1,14,1,0,0,1,,24,8,49,12,36,6,10,7,,cred-reportes-svc,1,0,0,,12,6,5,11,
clean,1,7,1,5,3,1,,7,,8,0,,,1,1,1,crud-spring-boot,0,1,0,1,,3,2,0,1
clean,,7,,0,0,1,,0,,2,0,,,0,,1,CRUDCleanArchitecture,0,0,0,,,3,2,0,
clean,7,12,,5,1,1,1,2,3,14,3,8,2,2,3,,crudCleanArchitectureImperactive,1,0,1,,3,2,3,3,
